Player,Nation,Pos,Sec_Pos,Squad,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Andrea Cambiaso,ITA,DF,,Juventus ,2000,7,5,565,6.3,0,1,1,0,0,0,0,0,0.1,0.1,0.2,0.3,21,29,22,0,0.16,0.16,0,0.16,0.01,0.03,0.05,0.01,0.05
Cole Campbell,USA,FW,,Dortmund ,2006,1,0,14,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Emre Can,GER,DF,MF,Dortmund ,1994,12,10,942,10.5,2,1,3,0,2,2,1,0,1.8,0.2,0.1,0.2,6,26,6,0.19,0.1,0.29,0,0.1,0.17,0.01,0.17,0.02,0.02
Nicolás Capaldo,ARG,MF,DF,RB Salzburg,1997,8,5,515,5.7,0,0,0,0,0,0,3,0,0.1,0.1,0.1,0.2,7,16,13,0,0,0,0,0,0.01,0.02,0.04,0.01,0.04
Diego Carlos,BRA,DF,,Aston Villa,1993,6,5,484,5.4,0,0,0,0,0,0,3,0,0.2,0.2,0.1,0.3,1,21,0,0,0,0,0,0,0.04,0.03,0.06,0.04,0.06
Marco Carnesecchi,ITA,GK,,Atalanta ,2000,9,9,810,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Julián Carranza,ARG,FW,,Feyenoord ,2000,7,2,265,2.9,1,0,1,1,0,0,1,0,0.6,0.6,0.2,0.9,0,4,6,0.34,0,0.34,0.34,0.34,0.21,0.08,0.29,0.21,0.29
Álvaro Carreras,ESP,DF,,Benfica ,2003,10,10,900,10,0,2,2,0,0,0,5,0,0.4,0.4,1.5,1.9,20,54,56,0,0.2,0.2,0,0.2,0.04,0.15,0.19,0.04,0.19
Cameron Carter-Vickers,USA,DF,,Celtic ,1997,7,7,606,6.7,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,9,32,0,0,0,0,0,0,0.01,0,0.01,0.01,0.01
Dani Carvajal,ESP,DF,,Real Madrid,1992,2,2,180,2,0,1,1,0,0,0,0,0,0,0,0.1,0.2,3,12,14,0,0.5,0.5,0,0.5,0.02,0.06,0.09,0.02,0.09
Marc Casado,ESP,MF,,Barcelona ,2003,10,7,633,7,0,2,2,0,0,0,1,0,0.4,0.4,0.5,0.8,6,47,11,0,0.28,0.28,0,0.28,0.05,0.07,0.12,0.05,0.12
Nicolò Casale,ITA,DF,,Bologna ,1998,4,2,219,2.4,0,0,0,0,0,0,1,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0
Matty Cash,POL,DF,FW,Aston Villa,1997,8,7,513,5.7,0,0,0,0,0,0,1,0,0.8,0.8,0.2,1.1,9,14,19,0,0,0,0,0,0.15,0.04,0.19,0.15,0.19
Santiago Castro,ARG,FW,,Bologna ,2004,7,4,336,3.7,0,0,0,0,0,0,2,0,0.3,0.3,0.3,0.6,2,2,22,0,0,0,0,0,0.07,0.09,0.16,0.07,0.16
Geny Catamo,MOZ,DF,MF,Sporting CP,2001,8,6,504,5.6,1,0,1,1,0,0,0,0,1,1,0.4,1.4,16,20,33,0.18,0,0.18,0.18,0.18,0.17,0.07,0.24,0.17,0.24
Dani Ceballos,ESP,MF,,Real Madrid,1996,9,4,405,4.5,0,1,1,0,0,0,1,0,0.1,0.1,0.7,0.7,4,35,2,0,0.22,0.22,0,0.22,0.01,0.15,0.17,0.01,0.17
Julian Chabot,GER,DF,,Stuttgart ,1998,8,7,647,7.2,0,0,0,0,0,0,0,0,0.4,0.4,0,0.4,1,28,2,0,0,0,0,0,0.06,0,0.06,0.06,0.06
El Chadaille Bitshiabu,FRA,DF,,RB Leipzig,2005,4,3,268,3,0,0,0,0,0,0,0,0,0,0,0,0,1,10,1,0,0,0,0,0,0,0.01,0.01,0,0.01
Miguel Chaiwa,ZAM,FW,MF,Young Boys,2004,2,0,41,0.5,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0
Brendan Chardonnet,FRA,DF,,Brest ,1994,9,9,810,9,0,0,0,0,0,0,2,0,0.2,0.2,0,0.3,0,14,0,0,0,0,0,0,0.03,0.01,0.03,0.03,0.03
Anrie Chase,JPN,DF,,Stuttgart ,2004,5,1,158,1.8,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,0,3,1,0,0,0,0,0,0.04,0,0.04,0.04,0.04
Lucas Chevalier,FRA,GK,,Lille ,2001,10,10,900,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Federico Chiesa,ITA,FW,,Liverpool ,1997,3,1,107,1.2,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,4,4,13,0,0,0,0,0,0.13,0,0.13,0.13,0.13
Andreas Christensen,DEN,DF,,Barcelona ,1996,1,0,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Tochi Chukwuani,DEN,MF,,Sturm Graz,2003,7,7,604,6.7,0,1,1,0,0,0,2,0,0.3,0.3,0.9,1.3,4,20,5,0,0.15,0.15,0,0.15,0.05,0.14,0.19,0.05,0.19
Carney Chukwuemeka,ENG,MF,FW,Dortmund ,2003,3,1,78,0.9,0,0,0,0,0,0,0,0,0.1,0.1,0.6,0.7,3,6,4,0,0,0,0,0,0.12,0.67,0.79,0.12,0.79
Samuel Chukwueze,NGA,FW,,Milan ,1999,7,1,280,3.1,0,1,1,0,0,0,2,0,0.3,0.3,0.7,1,21,18,49,0,0.32,0.32,0,0.32,0.11,0.22,0.33,0.11,0.33
Bobby Clark,ENG,MF,FW,RB Salzburg,2005,6,4,326,3.6,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.6,7,12,15,0,0,0,0,0,0.08,0.08,0.16,0.08,0.16
Silvi Clúa,ESP,MF,,Girona ,2005,1,1,78,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Elias Cobbaut,BEL,DF,,Sparta Prague,1997,2,2,157,1.7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
Matteo Cocchi,ITA,DF,,Inter ,2007,1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ebrima Colley,GAM,FW,MF,Young Boys,2000,7,4,306,3.4,0,0,0,0,0,0,2,0,0.3,0.3,0.2,0.5,7,8,17,0,0,0,0,0,0.08,0.05,0.13,0.08,0.13
Kingsley Coman,FRA,FW,,Bayern Munich,1996,11,5,458,5.1,1,0,1,1,0,0,2,0,1.2,1.2,0.7,1.9,22,17,75,0.2,0,0.2,0.2,0.2,0.24,0.14,0.38,0.24,0.38
Francisco Conceição,POR,FW,,Juventus ,2002,9,6,605,6.7,1,1,2,1,0,0,2,0,0.6,0.6,0.5,1.1,50,20,67,0.15,0.15,0.3,0.15,0.3,0.09,0.08,0.16,0.09,0.16
Abdu Conté,POR,DF,,Young Boys,1998,1,0,28,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Tommaso Corazza,ITA,DF,,Bologna ,2004,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Juan Córdoba,COL,FW,MF,Dinamo Zagreb,2003,1,0,17,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.17,0,0.17,0.17,0.17
Ángel Correa,ARG,MF,FW,Atlético Madrid,1995,8,2,269,3,3,1,4,3,0,0,2,0,1.6,1.6,0.8,2.5,14,9,14,1,0.33,1.34,1,1.34,0.62,0.32,0.93,0.62,0.93
Grégoire Coudert,FRA,GK,,Brest ,1999,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Soumaïla Coulibaly,FRA,DF,,Brest ,2003,8,7,636,7.1,0,0,0,0,0,0,0,0,0,0,0,0,3,12,1,0,0,0,0,0,0,0,0,0,0
Thibaut Courtois,BEL,GK,,Real Madrid,1992,12,12,"1,110",12.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yan Couto,BRA,DF,,Dortmund ,2002,8,2,231,2.6,0,0,0,0,0,0,2,0,0.1,0.1,0,0.1,8,12,19,0,0,0,0,0,0.03,0.02,0.04,0.03,0.04
Juan Cuadrado,COL,DF,,Atalanta ,1988,8,2,320,3.6,0,1,1,0,0,0,1,0,0.4,0.4,2.2,2.6,14,22,25,0,0.28,0.28,0,0.28,0.12,0.61,0.73,0.12,0.73
Pau Cubarsí,ESP,DF,,Barcelona ,2007,13,12,977,10.9,0,1,1,0,0,0,2,1,0.2,0.2,1,1.2,7,74,2,0,0.09,0.09,0,0.09,0.02,0.09,0.11,0.02,0.11
Andres Cuenca,ESP,DF,,Barcelona ,2007,1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daniel Cummings,SCO,FW,,Celtic ,2006,1,0,12,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adam Daghim,DEN,FW,,RB Salzburg,2005,7,4,393,4.4,1,0,1,1,0,0,1,0,0.6,0.6,0.2,0.7,16,9,38,0.23,0,0.23,0.23,0.23,0.13,0.04,0.17,0.13,0.17
Samuel Dahl,SWE,DF,FW,Benfica ,2000,3,1,157,1.7,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.4,5,6,9,0,0,0,0,0,0.09,0.13,0.21,0.09,0.21
Ameen Al-Dakhil,BEL,DF,MF,Stuttgart ,2002,3,1,95,1.1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Dálcio,GNB,MF,,Red Star,1996,5,0,183,2,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0,6,5,0,0,0,0,0,0.04,0.05,0.09,0.04,0.09
Thijs Dallinga,NED,FW,,Bologna ,2000,8,4,412,4.6,1,0,1,1,0,0,0,0,1.7,1.7,0,1.7,4,4,16,0.22,0,0.22,0.22,0.22,0.37,0.01,0.38,0.37,0.38
Matteo Dams,BEL,DF,,PSV Eindhoven,2004,6,6,416,4.6,0,0,0,0,0,0,3,0,0,0,0.2,0.2,0,19,13,0,0,0,0,0,0,0.05,0.05,0,0.05
Kryštof Daněk,CZE,FW,MF,Sparta Prague,2003,3,0,50,0.6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0
Danilo,BRA,DF,,Juventus ,1991,4,2,232,2.6,0,0,0,0,0,0,2,1,0,0,0,0,1,10,4,0,0,0,0,0,0.01,0,0.01,0.01,0.01
Arnaut Danjuma,NED,FW,,Girona ,1997,7,3,389,4.3,1,2,3,1,0,0,1,0,1.3,1.3,1,2.3,34,12,38,0.23,0.46,0.69,0.23,0.69,0.31,0.23,0.53,0.31,0.53
Jayden Danns,ENG,FW,,Liverpool ,2006,1,1,82,0.9,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,1,3,0,0,0,0,0,0,0.08,0,0.08,0.08,0.08
Matteo Darmian,ITA,DF,,Inter ,1989,10,5,553,6.1,0,0,0,0,0,0,0,0,0.3,0.3,0.4,0.7,3,7,15,0,0,0,0,0,0.06,0.07,0.13,0.06,0.13
Juan David Cabal,COL,DF,,Juventus ,2001,2,2,157,1.7,0,0,0,0,0,0,1,0,0,0,0,0,2,8,6,0,0,0,0,0,0,0,0,0,0
Jonathan David,CAN,FW,,Lille ,2000,10,8,747,8.3,7,2,9,5,2,2,2,0,4.7,3.1,1.3,4.4,8,16,52,0.84,0.24,1.08,0.6,0.84,0.56,0.15,0.72,0.37,0.53
Alphonso Davies,CAN,DF,,Bayern Munich,2000,9,8,701,7.8,2,0,2,2,0,0,0,0,1.7,1.7,0.7,2.4,36,51,41,0.26,0,0.26,0.26,0.26,0.21,0.1,0.31,0.21,0.31
Kevin De Bruyne,BEL,MF,,Manchester City,1991,7,5,397,4.4,0,0,0,0,0,0,0,0,0.8,0.8,2,2.8,14,33,42,0,0,0,0,0,0.17,0.46,0.64,0.17,0.64
Maxim De Cuyper,BEL,DF,,Club Brugge,2000,12,12,"1,079",12,1,0,1,1,0,0,1,0,0.7,0.7,1.3,2,13,44,54,0.08,0,0.08,0.08,0.08,0.06,0.11,0.17,0.06,0.17
Charles De Ketelaere,BEL,FW,MF,Atalanta ,2001,10,8,699,7.8,4,5,9,3,1,1,0,0,2.7,1.9,5,6.8,37,30,75,0.52,0.64,1.16,0.39,1.03,0.34,0.64,0.98,0.24,0.88
Rodrigo De Paul,ARG,MF,,Atlético Madrid,1994,10,10,743,8.3,0,1,1,0,0,0,1,0,0.3,0.3,1.1,1.4,26,74,31,0,0.12,0.12,0,0.12,0.03,0.13,0.16,0.03,0.16
Giacomo De Pieri,ITA,FW,,Inter ,2006,1,0,15,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,0,1,0,0,0,0,0,0.69,0,0.69,0.69,0.69
Zeno Debast,BEL,DF,MF,Sporting CP,2003,8,7,565,6.3,1,1,2,1,0,0,2,0,0.1,0.1,0.9,1,2,18,3,0.16,0.16,0.32,0.16,0.32,0.02,0.14,0.17,0.02,0.17
Amar Dedić,BIH,DF,,RB Salzburg,2002,7,7,630,7,0,1,1,0,0,0,1,0,0.5,0.5,0.9,1.4,38,36,26,0,0.14,0.14,0,0.14,0.08,0.12,0.2,0.08,0.2
Romain Del Castillo,FRA,FW,,Brest ,1996,7,3,318,3.5,0,0,0,0,0,0,1,0,0.1,0.1,0.9,1,15,17,20,0,0,0,0,0,0.03,0.26,0.29,0.03,0.29
Ousmane Dembélé,FRA,FW,,Paris S-G,1997,15,13,"1,158",12.9,8,6,14,8,0,0,2,1,8.1,8.1,3.7,11.8,89,87,138,0.62,0.47,1.09,0.62,1.09,0.65,0.29,0.94,0.65,0.94
Ermedin Demirović,BIH,FW,,Stuttgart ,1998,8,4,406,4.5,1,0,1,1,0,0,2,0,2.3,2.3,0.4,2.7,9,4,29,0.22,0,0.22,0.22,0.22,0.52,0.09,0.6,0.52,0.6
Michele Di Gregorio,ITA,GK,,Juventus ,1997,8,8,718,8,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ángel Di María,ARG,FW,MF,Benfica ,1988,9,6,545,6.1,1,2,3,0,1,1,0,0,2.4,1.6,2.6,4.2,28,36,44,0.17,0.33,0.5,0,0.33,0.39,0.44,0.83,0.26,0.7
Bafodé Diakité,FRA,DF,,Lille ,2001,10,9,855,9.5,0,0,0,0,0,0,1,0,0,0,0,0,1,19,0,0,0,0,0,0,0,0,0,0,0
Mamady Diambou,MLI,MF,DF,RB Salzburg,2002,7,4,364,4,0,0,0,0,0,0,0,0,0,0,0,0,3,13,9,0,0,0,0,0,0,0,0,0,0
Rúben Dias,POR,DF,,Manchester City,1997,7,5,453,5,0,0,0,0,0,0,2,0,0,0,0,0,1,17,1,0,0,0,0,0,0,0,0,0,0
Krépin Diatta,SEN,DF,,Monaco ,1999,4,2,213,2.4,0,0,0,0,0,0,0,0,0.2,0.2,0.4,0.6,8,11,17,0,0,0,0,0,0.1,0.17,0.27,0.1,0.27
Brahim Díaz,MAR,FW,MF,Real Madrid,1999,11,4,482,5.4,2,1,3,2,0,0,1,0,1.4,1.4,1,2.4,19,22,33,0.37,0.19,0.56,0.37,0.56,0.28,0.2,0.48,0.28,0.48
Luis Díaz,COL,FW,,Liverpool ,1997,9,7,631,7,3,0,3,3,0,0,1,0,2.5,2.5,1.1,3.6,26,23,78,0.43,0,0.43,0.43,0.43,0.36,0.16,0.52,0.36,0.52
Eric Dier,ENG,DF,,Bayern Munich,1994,6,3,297,3.3,1,0,1,1,0,0,1,0,0.1,0.1,0,0.1,2,14,2,0.3,0,0.3,0.3,0.3,0.03,0,0.03,0.03,0.03
Lucas Digne,FRA,DF,,Aston Villa,1993,9,9,743,8.3,0,0,0,0,0,0,2,0,0.4,0.4,0.7,1,12,24,46,0,0,0,0,0,0.04,0.08,0.12,0.04,0.12
Federico Dimarco,ITA,DF,FW,Inter ,1997,10,7,568,6.3,0,1,1,0,0,0,1,0,0.8,0.8,1.7,2.6,18,17,49,0,0.16,0.16,0,0.16,0.13,0.27,0.41,0.13,0.41
Ousmane Diomande,CIV,DF,,Sporting CP,2003,9,9,751,8.3,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,3,18,0,0,0,0,0,0,0.01,0,0.01,0.01,0.01
Axel Disasi,FRA,DF,,Aston Villa,1998,3,1,126,1.4,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,4,2,0,0,0,0,0,0.01,0.06,0.07,0.01,0.07
Nasser Djiga,BFA,DF,,Red Star,2002,8,8,720,8,1,1,2,1,0,0,1,0,0.2,0.2,0.7,0.9,13,33,7,0.12,0.12,0.25,0.12,0.25,0.03,0.08,0.11,0.03,0.11
Berat Djimsiti,ALB,DF,,Atalanta ,1993,9,8,678,7.5,1,0,1,1,0,0,1,0,1.1,1.1,0.2,1.3,8,48,7,0.13,0,0.13,0.13,0.13,0.15,0.02,0.17,0.15,0.17
Jeremy Doku,BEL,FW,,Manchester City,2002,4,2,193,2.1,0,1,1,0,0,0,0,0,0.2,0.2,0.6,0.9,26,6,52,0,0.47,0.47,0,0.47,0.12,0.3,0.42,0.12,0.42
Sergi Dominguez,ESP,DF,FW,Barcelona ,2005,2,0,35,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Gianluigi Donnarumma,ITA,GK,,Paris S-G,1999,15,15,"1,380",15.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nene Dorgeles,MLI,FW,,RB Salzburg,2002,8,5,484,5.4,0,0,0,0,0,0,0,0,0.4,0.4,0.4,0.8,18,20,33,0,0,0,0,0,0.08,0.07,0.15,0.08,0.15
Désiré Doué,FRA,FW,,Paris S-G,2005,16,8,740,8.2,5,3,8,5,0,0,1,0,2.7,2.7,2.5,5.2,52,27,64,0.61,0.36,0.97,0.61,0.97,0.34,0.32,0.67,0.34,0.67
Kamory Doumbia,MLI,MF,FW,Brest ,2003,10,5,437,4.9,0,0,0,0,0,0,0,0,1.7,1.7,0.5,2.2,11,14,17,0,0,0,0,0,0.35,0.1,0.44,0.35,0.44
Couhaib Driouech,MAR,FW,MF,PSV Eindhoven,2002,5,1,154,1.7,1,0,1,1,0,0,0,0,0.6,0.6,0.3,0.8,6,1,19,0.58,0,0.58,0.58,0.58,0.35,0.17,0.52,0.35,0.52
Vanja Drkušič,SVN,DF,,Red Star,1999,2,2,178,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joel Drommel,NED,GK,,PSV Eindhoven,1996,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bruno Duarte,BRA,FW,MF,Red Star,1996,7,2,154,1.7,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,7,4,10,0,0,0,0,0,0.12,0,0.12,0.12,0.12
Denzel Dumfries,NED,DF,,Inter ,1996,12,11,971,10.8,2,3,5,2,0,0,2,0,1.4,1.1,2,3.1,24,20,74,0.19,0.28,0.46,0.19,0.46,0.13,0.18,0.31,0.1,0.29
Jáder Durán,COL,FW,,Aston Villa,2003,7,1,241,2.7,3,0,3,3,0,0,2,0,0.9,0.9,0.2,1,3,5,16,1.12,0,1.12,1.12,1.12,0.33,0.06,0.38,0.33,0.38
Julien Duranville,BEL,FW,MF,Dortmund ,2006,9,2,301,3.3,0,0,0,0,0,0,0,0,0.2,0.2,0.4,0.6,16,9,30,0,0,0,0,0,0.07,0.12,0.19,0.07,0.19
Éderson,BRA,MF,,Atalanta ,1999,9,8,739,8.2,1,0,1,1,0,0,4,0,0.4,0.4,0.6,1,12,62,21,0.12,0,0.12,0.12,0.12,0.05,0.07,0.12,0.05,0.12
Ederson,BRA,GK,,Manchester City,1993,8,8,720,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marcus Edwards,ENG,MF,,Sporting CP,1998,1,1,67,0.7,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,0,0,0,0,0,0.06,0,0.06,0.06,0.06
Eguinaldo,BRA,FW,,Shakhtar ,2004,7,5,406,4.5,0,1,1,0,0,0,0,0,0.9,0.9,0.4,1.3,7,6,20,0,0.22,0.22,0,0.22,0.19,0.09,0.29,0.19,0.29
Meschak Elia,COD,MF,FW,Young Boys,1997,5,0,142,1.6,0,0,0,0,0,0,2,0,0.4,0.4,0.1,0.4,4,2,13,0,0,0,0,0,0.23,0.05,0.28,0.23,0.28
Harvey Elliott,ENG,MF,FW,Liverpool ,2003,5,1,171,1.9,3,0,3,3,0,0,2,0,0.7,0.7,0,0.7,3,9,10,1.58,0,1.58,1.58,1.58,0.39,0.02,0.41,0.39,0.41
Elif Elmas,MKD,MF,,RB Leipzig,1999,3,0,36,0.4,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,3,1,0,0,0,0,0,0,0.23,0.23,0,0.23
Timi Elšnik,SVN,MF,DF,Red Star,1998,8,8,720,8,0,2,2,0,0,0,1,0,0.3,0.3,1.4,1.7,15,49,21,0,0.25,0.25,0,0.25,0.04,0.17,0.21,0.04,0.21
Breel Embolo,SUI,FW,,Monaco ,1997,10,10,745,8.3,1,3,4,1,0,0,1,0,3.2,3.2,1.5,4.7,6,19,43,0.12,0.36,0.48,0.12,0.48,0.39,0.19,0.57,0.39,0.57
Emerson,BRA,DF,,Milan ,1999,7,4,317,3.5,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,6,16,17,0,0,0,0,0,0.05,0.03,0.08,0.05,0.08
Wataru Endo,JPN,MF,DF,Liverpool ,1993,6,1,143,1.6,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,0,0,0,0,0,0,0,0,0,0
Endrick,BRA,FW,,Real Madrid,2006,9,1,141,1.6,1,0,1,1,0,0,2,0,1,1,0.5,1.5,1,3,10,0.64,0,0.64,0.64,0.64,0.66,0.36,1.02,0.66,1.02
Arne Engels,BEL,MF,,Celtic ,2003,10,9,724,8,1,3,4,0,1,2,0,0,2.2,0.7,2,2.7,10,28,28,0.12,0.37,0.5,0,0.37,0.28,0.25,0.53,0.08,0.34
Luis Enrique Palma,HON,FW,,Celtic ,2000,2,0,35,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Martin Erlic,CRO,DF,,Bologna ,1998,1,0,45,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Ricardo Esgaio,POR,DF,,Sporting CP,1993,4,2,170,1.9,0,0,0,0,0,0,0,0,0,0,0,0,2,7,14,0,0,0,0,0,0,0.01,0.01,0,0.01
Giovanni Fabbian,ITA,MF,,Bologna ,2003,7,6,490,5.4,0,0,0,0,0,0,2,0,0.9,0.9,0,0.9,5,8,15,0,0,0,0,0,0.17,0,0.17,0.17,0.17
Nicolò Fagioli,ITA,MF,FW,Juventus ,2001,4,2,207,2.3,0,1,1,0,0,0,0,0,0.3,0.3,0.7,1,6,15,7,0,0.43,0.43,0,0.43,0.15,0.28,0.43,0.15,0.43
Romain Faivre,FRA,MF,FW,Brest ,1998,8,3,308,3.4,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,10,10,8,0,0,0,0,0,0.02,0.07,0.09,0.02,0.09
Ansu Fati,ESP,FW,MF,Barcelona ,2002,4,0,41,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4,0,0,0,0,0,0,0,0,0,0
João Félix,POR,MF,,Milan ,1999,2,2,180,2,0,0,0,0,0,0,1,0,0.4,0.4,0.3,0.7,5,13,10,0,0,0,0,0,0.2,0.13,0.33,0.2,0.33
Lewis Ferguson,SCO,MF,,Bologna ,1999,5,4,289,3.2,0,0,0,0,0,0,2,0,0.5,0.5,0.2,0.7,3,10,8,0,0,0,0,0,0.16,0.06,0.22,0.16,0.22
Edimilson Fernandes,SUI,MF,,Brest ,1996,10,8,647,7.2,1,0,1,1,0,0,0,0,0.2,0.2,0.1,0.3,5,21,5,0.14,0,0.14,0.14,0.14,0.03,0.01,0.04,0.03,0.04
Matias Fernandez-Pardo,BEL,FW,MF,Lille ,2005,7,2,263,2.9,0,1,1,0,0,0,0,0,0.3,0.3,0.4,0.7,15,7,10,0,0.34,0.34,0,0.34,0.09,0.14,0.24,0.09,0.24
Ryan Flamingo,NED,DF,,PSV Eindhoven,2002,11,10,858,9.5,3,0,3,3,0,0,0,1,1.3,1.3,0.2,1.4,5,49,1,0.31,0,0.31,0.31,0.31,0.14,0.02,0.16,0.14,0.16
Phil Foden,ENG,MF,FW,Manchester City,2000,9,7,687,7.6,3,1,4,3,0,0,0,0,1.7,1.7,1.2,2.9,24,47,73,0.39,0.13,0.52,0.39,0.52,0.22,0.16,0.39,0.22,0.39
Youssouf Fofana,FRA,MF,,Milan ,1999,10,9,799,8.9,0,2,2,0,0,0,2,0,0.5,0.5,1.1,1.6,13,56,16,0,0.23,0.23,0,0.23,0.05,0.12,0.18,0.05,0.18
James Forrest,SCO,FW,,Celtic ,1991,4,0,63,0.7,0,1,1,0,0,0,0,0,0.1,0.1,0.3,0.4,4,5,13,0,1.43,1.43,0,1.43,0.12,0.47,0.59,0.12,0.59
Héctor Fort,ESP,DF,,Barcelona ,2006,2,0,50,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0.04,0,0.04,0.04,0.04
Alejandro Francés,ESP,DF,,Girona ,2002,6,5,435,4.8,0,0,0,0,0,0,2,0,0.3,0.3,0.4,0.7,10,26,17,0,0,0,0,0,0.06,0.09,0.15,0.06,0.15
Lassina Franck Traoré,BFA,FW,,Shakhtar ,2001,6,0,146,1.6,0,0,0,0,0,0,1,0,0,0,0.1,0.1,0,2,4,0,0,0,0,0,0.03,0.05,0.08,0.03,0.08
Bartol Franjić,CRO,DF,MF,Shakhtar ,2000,2,0,21,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Davide Frattesi,ITA,MF,,Inter ,1999,13,4,496,5.5,2,0,2,2,0,0,1,0,0.9,0.9,0.4,1.3,10,12,13,0.36,0,0.36,0.36,0.36,0.18,0.07,0.26,0.18,0.26
Iván Fresneda,ESP,DF,,Sporting CP,2004,3,3,237,2.6,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,3,5,8,0,0,0,0,0,0.07,0.01,0.08,0.07,0.08
Remo Freuler,SUI,MF,,Bologna ,1992,7,6,506,5.6,0,0,0,0,0,0,3,0,0.1,0.1,0.3,0.3,3,26,7,0,0,0,0,0,0.01,0.05,0.06,0.01,0.06
Jeremie Frimpong,NED,DF,FW,Leverkusen ,2000,10,9,793,8.8,0,3,3,0,0,0,2,0,1.2,1.2,2.5,3.6,42,14,81,0,0.34,0.34,0,0.34,0.13,0.28,0.41,0.13,0.41
Chris Führich,GER,FW,MF,Stuttgart ,1998,7,6,503,5.6,1,0,1,1,0,0,0,0,0.7,0.7,1.1,1.8,33,36,69,0.18,0,0.18,0.18,0.18,0.12,0.2,0.32,0.12,0.32
